Program Information,Program Information,Program Information,Program Information,Program Information,Data Information,Program Info,Program Info,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Data Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Participant Information,Outcome Measures,Outcome Measures,Outcome Measures,Reference Information,Reference Information,Reference Information
Anne Arundel County Citizen Monitoring Program ,Train citizens in science-based methods to monitor county waterways and identify potential problem areas,Both,North America,NGO,North America,1986,Ongoing,Unknown,Freshwater,Macroinvertebrates,No,NA,NA,Some,Speciman collected & expert present,None,Unknown,Unknown,Unknown,20,2002,Unknown,Yes,in-person,in-person,Yes,in-person,in-person,0,Unknown,NA,"http://www.saveourstreams.org/SOS-aacounty.htm, http://yosemite.epa.gov/water/adopt.nsf/d850a81d7b0bcf638525730f00557262/5789a21a48dad7d685256fa50058c2c6!OpenDocument",EPA,
Annual Loudoun Butterfly Count,Butterflies are good indicators of habitat and the health of our environment because they need such a diversity of plants to develop and survive Areas that are weedy and wild one year will show an abundance of species while a newly planted lawn (a monoculture) or an area sprayed with pesticides will be a wasteland,Data,North America,NGO,North America,1997,Ongoing,<100 km,Terrestrial,Butterflies,No,NA,NA,All,Expert present,All,All,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,in-person & online material,combo,Yes,in-person & online material,combo,0,Unknown,NA,http://www.loudounwildlife.org/Butterfly_Count.htm,Scistarter,2012-02-21
Annual Midwest Crane Count,To monitor the abundance and distribution of cranes in the upper Midwest,Data,North America,NGO,North America,1976,Ongoing,<1000 km,Terrestrial,Whooping and sandhill cranes,No,NA,NA,Some,Photo,Some,Some,Unknown,Unknown,3000,2012,Anyone interested,Yes,resources,electronic,Yes ,resources,electronic,0,Unknown,NA,http://www.savingcranes.org/annual-midwest-crane-count.html,Cornell Citizen Science Central,2012-05-02
Anza Borrego Desert Wildlife,To observe and monitor the different species of wildlife and plant species surviving in the anza=borrego desert region,Data,North America,Unknown,North America,2011,Ongoing,<100 km,Terrestrial,"Birds, mammals, insects, plants",No,NA,NA,All,Photo,All,None,3,1,3,2012,Anyone interested,No,NA,NA,Yes,photos and descriptions of some species online,electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/anza-borrego-desert-wildlife,iNaturalist,2012-04-26
Aqua-Lab Project of the Okaloosa County Environmental Council ,To acquire a long-term database documenting normal/abnormal water quality trends and fluctuations through monthly water sampling at various sites,Data,North America,Government,North America,1994,Ongoing,<100 km,Estuarine,Fecal coliform bacteria,No,NA,NA,All,Specimen collection,Some,All,Unknown,Unknown,24,2003,Anyone interested,Unknown,NA,NA,Unknown,Unknown,NA,0,Unknown,NA,http://www.co.okaloosa.fl.us/living_environment_aqualab.html,EPA,2012-04-04
Aquatic Invasive Species Monitoring,"Help you become familiar with some of the more common native aquatic plants and
animals in your lake
• Help you monitor for the more common aquatic invasive species
• Help you to communicate information to others",Both,North America,Government,North America,1986,Ongoing,<1000 km,Freshwater,"New Zealand mudsnail, freshwater jellyfish, zebra mussels, Quagga mussels, rusty crayfish, spiny and fishhook waterflea, Chinese and banded mystery snails, hydrilla, purple loosestrife, curly-leaf pondweed, Eurasian water-milfoil ",Yes,NA,NA,Some,Speciman collected & expert present,Some,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,in-person and online material,combo,Yes,online instructions and in-person workshops,combo,2,Unknown,NA,http://dnr.wi.gov/topic/Invasives/,Scistarter,2012-02-15
Arizona Odonates,Arizona residents are needed to contribute to a photographic guide to dragonflies and damselflies in their state,Data,North America,NGO,North America,2003,Ongoing,Unknown,Terrestrial,Odonates,No,NA,NA,Some,Photo and/or specimen,All,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online form,electronic,No,NA,NA,0,Unknown,NA,http://www.azodes.com/main/default.asp,Scistarter,
Arkansas Stream Team ,"To enable concerned citizens to become involved in stream and watershed conservation Efforts revolve around three primary aspects of stream conservation: education, advocacy and stewardship",Education,North America,Government,North America,1992,Ongoing,Unknown,Freshwater,"Aquatic and terrestrial plants, macroinvertebrates ",No,NA,NA,Unknown,NA,Unknown,All,Unknown,Unknown,1480,2009,Anyone interested,Yes,events,in-person,Yes,events,in-person,0,Unknown,NA,http://www.agfc.com/fishing/Pages/FishingProgramsAST.aspx#Related%20Documents,EPA,2012-04-13
Armenian Citizen Herpetologists,The goal of this atlas is to focus on importance of Amphibians and Reptiles as a part of Armenian ecosystems ,Data,Europe,Academic,Europe,2012,Ongoing,<1000 km,Terrestrial,Amphibians,No,NA,NA,Some,Photo,All,None,5,1,5,2012,Anyone interested,No,NA,NA,Yes,website photo,electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/armenian-citizen-herpetologists-atlas,iNaturalist,2012-04-27
Ashland University Plants of North Central Ohio,For students and faculty of Ashland University and other interested individuals to create an database of plants in North Central Ohio and surrounding areas of Ohio,Data,North America,Academic,North America,2012,Ongoing,<10 km,"Terrestrial, aquatic",Plants,No,NA,NA,All,Photo,All,None,1,1,1,2012,Anyone interested,No,NA,NA,Yes,website photo,electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/ashland-university-plants-of-north-central-ohio,iNaturalist,2012-04-27
Atlas for the Persian Toad Headed Agama,This project aims to accumulate and represent the datat about current and historical range of Phrynocephalus persicus and welcome everyone to submit accurate evidence about current or historical presence of this encouraged to submit records species throughout the range Both professioNAl and amateur NAturalists are ,Data,Europe,Academic,Europe,2012,Ongoing,<1000 km,Terrestrial,Persian toad headed agama,No,NA,NA,Some,Photo,All,None,1,1,1,2012,Anyone interested,No,NA,NA,Yes,website photo,electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/atlas-for-the-persian-toad-headed-agama,iNaturalist,2012-04-27
Audubon of Florida EagleWatch,"Audubon EagleWatch seeks information about Bald Eagles, active nest locations and possible disturbances or threats to nesting activities The program is designed to educate volunteer participants in general eagle nesting biology, applicable laws, the identification of nest threats, monitoring techniques and the verification of previously unrecorded active eagle nests AND:     Compile data for publication to document urban nesting activity
    Emphasize monitoring of urban pairs to record long-term nesting trends
    Identify potential threats to nesting success since most threats are related directly or indirectly to human activity
    Expand Audubon EagleWatch on a statewide basis while generating increased public awareness of our national symbol This will include programs designed to educate the citizens of Florida in ways to help ensure the continued recovery of the bald eagle",Both,North America,NGO,North America,1992,Ongoing,<1000 km,"Terrestrial, marine, estuarine, freshwater",Bald eagle,No,NA,NA,None,NA,None,Unknown,Unknown,Unknown,250,Unknown,Anyone interested,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,NA,http://fl.audubon.org/audubon-eaglewatch,Scistarter,2012-02-13
Badgermap,"BadgerMap is a project to document confirmed habitat and species sightings for American Badger (Taxidea taxus) in Sonoma County and the Bay Area region MaNAged by Paula Lane Action Network, a 501c3 conservation nonprofit organization wwwpaulalaneactionnetworkorg (707) 241-5548",Data,North America,NGO,North America,2011,Ongoing,<1000 km,Terrestrial,American badger,No,NA,NA,Some,Photo,All,None,4,1,4,2012,Anyone interested,No,NA,NA,Yes,photos and descriptions of some species online,electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/badgermap,iNaturalist,2012-04-26
Bald Eagle Watch,To provide information to biologists on the nesting success of the Colorado bald eagle population and continue to monitor the population so that we ensure it remains viable,Data,North America,NGO,North America,1989,Ongoing,<1000 km,Terrestrial,Bald eagle,No,breeding phenology,NA,None,NA,Some,Some,Unknown,Unknown,32,2008,Anyone interested,Yes,online,electronic,Yes,online,electronic,0,Unknown,NA,http://www.rmbo.org/v2/web/getInvolved/eagle.aspx,Scistarter,2012-04-20
Barcoding Life's Matrix,Coastal Marine Biolabs and its collaborators are leading a student-centered campaign to generate reference barcodes for fish and invertebrate species that provide vital signs of marine ecosystem health High school students and science teachers are cordially invited to join this scientific campaign as citizen scientists  The data that you generate through this campaign will someday help scientists to better understand how human activities and natural events impact California’s marine ecosystems and their inhabitants ,Both,North America,NGO,North America,2010,Ongoing,<100 km,Marine,"Marine invertebrates, fish",No,NA,Tissue samples for DNA barcoding,All,Specimen collection,All,All,Unknown,Unknown,10,2011,High school teachers & students,Yes,in-person,in-person,Yes,in-person,in-person,0,Yes,Pre/post tests,http://www.studentdNAbarcoding.org/,Cornell,2012-05-23
Bat Monitoring Project,To highlight areas of concern and prioritize conservation activities,Data,Global,NGO,Global,Unknown,Unknown,>10000 km,Terrestrial,Bats,No,NA,NA,Some,Photo,All,None,384,Unknown,Unknown,Unknown,Anyone interested,No,NA,NA,No,NA,NA,0,Unknown,NA,http://www.projectnoah.org/missions/6543173,Project Noah,2012-05-17
Bay Area Ant Survey,"1) Documenting the ant diversity of the Bay Area, 2) Mapping the spread of invasive ants, including the problematic Argentine ant, 3) Creating a permanent collection of ant species for scientific research and teaching, 4) Allowing the community to experience scientific discovery firsthand
",Both,North America,NGO,North America,Unknown,Ongoing,<1000 km,Terrestrial,Ants,Yes,NA,NA,All,Specimen collection,Some,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,instructions on downloadable data sheet; teacher workshop trainings,combo,Yes,online powerpoint to id 16 ant spp from bay area,electronic,0,Unknown,NA,http://www.calacademy.org/science/citizen_science/ants/,Scistarter,2012-03-04
Beaver Creek Reserve BioBlitzes (3 different properties),"The purpose of the BioBlitzes was to provide Eau Claire County with a more current list of species present on the property for a variety of different taxonomic groups A secondary purpose was to report any species of Special Conservation Need, as indicated in the Wisconsin Wildlife Action Plan, and third, to provide data that the County and State could use to determine where new barrens restoration opportunities might exist",Data,North America,"NGO, Goverernment Agency",North America,2009,2010,<10 km,"Terrestrial, freshwater","Mammals, reptiles, amphibians, birds, bats, worms, Butterflies, birds, terrestrial plants, aquatic plants, insects, fungi",Some,NA,NA,Some,Specimen collection,Some,Some,46,1,Unknown,Unknown,Anyone interested,Unknown,NA,NA,Unknown,NA,NA,0,Unknown,NA,http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=4&ved=0CEsQFjAD&url=http%3A%2F%2Fwww.beavercreekreserve.org%2Fwebfiles%2Ffnitools%2Fdocuments%2Fec_bioblitz_report_3_sept_10.pdf&ei=D2U4T--cDdHRiAKR0_HCCg&usg=AFQjCNH3vGt3NJkSCGccgTJlQmpCPIJiag&sig2=g1ZtmVIqzT-49QUCph-41w,Scistarter,2012-02-15
Bee Hunt,"To understand the impact of climate change and other factors on plant-pollinator interactions, geographic distributions, and seasonal abundances You can either choose to inventory bees and all other NAtural history at a site, or you can design an experiment that compares polliNAtors at two different patches of flowers ",Data,North America,"NGO, Academic",North America,Unknown,Ongoing,Unknown,Terrestrial,Bees,No,NA,NA,Some,"photo, specimen collection",None,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online,electronic,Yes,"online, mail it in",electronic,0,Unknown,NA,http://www.discoverlife.org/bee/,Scistarter,2012-02-15
BeeSpotter,"The goals of Beespotter are to engage citizen scientists in data collection to establish a much-needed baseline for monitoring population declines, to increase public awareness of pollinator diversity, and enhance public appreciation of polliNAtion as an ecosystem service The use of photography for identification, instead of the net, pin, and spreading board of traditioNAl entomology, is consistent with the goal of preserving bee diversity and enhancing polliNAtor appreciation",Both,North America,Academic,North America,2007,Ongoing,<1000 km,Terrestrial,Bees,No,NA,NA,All,Photo,Some,None,1000,4,Unknown,Unknown,Anyone interested,Yes,training guide,electronic,Yes,online guide to bees,electronic,0,Unknown,NA,http://beespotter.mste.illinois.edu/,Scistarter,2012-02-01
Behavior Watch,"Various, depending on project, to educate the public and to gather behavioral information for publication about captive animals, or to improve maNAgement protocols for these animals",Data,North America,Government,North America,Unknown,Unknown,<10 km,Multiple organisms are studied from different types of ecosystems,"Zoo animals, various",No,behavior,NA,Some,Expert present,None,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,"video, in-person, handout",combo,Yes,"video, in-person, handout",combo,0,Unknown,NA,http://nationalzoo.si.edu/Support/Volunteer/ZooSupport/BehaviorWatch.cfm,Scistarter,2012-03-03
"Big Fork River Board, Citizens Advisory Group ",Big Fork River Board monitors seven sites on the Big Fork River The Board is a joint powers board that implements the river maNAgement plan written by the Citizens Advisory Group,Data,North America,"Government, NGO",North America,1994,Unknown,Unknown,Freshwater,Bacteria,No,NA,NA,All,Specimen collection,None,Unknown,Unknown,Unknown,35,2002,"Anyone interested, students",Unknown,NA,Unknown,Unknown,NA,Unknown,0,Unknown,NA,http://www.minnesotawaters.org/group/big-fork/water-quality-information,EPA,2012-03-29
Bioblitz 2011 Saguaro National Park Arizona,"Find, identify, and learn about as many species as possible; Let the public do science in the field with experts; Highlight unique local biodiversity; Introduce public & scientists to Saguaro National Park; Inspire the next generation of organismal biologists and stewards; Reconnecting people to NAture through education",Both,North America,Government,North America,2011,2011,<100 km,Terrestrial,Everything,No,NA,NA,Some,Expert present,Some,Some,5500,1,Unknown,Unknown,Anyone interested,Unknown,NA,NA,Unknown,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/bioblitz-2011-saguaro-national-park-arizona,iNaturalist,2012-05-11
Bioblitz at Don Edward San Francisco Bay NWR,"Today there is still no complete documentation of the distribution, occurrence, and patterns of all the plants and animals on this planet Using informal methodology and organization, this BioBlitz is an initial step towards closing that gap Prime goals of the event are reaching first-time visitors to public lands and reconnecting both young and old to the great outdoors by counting as many species from as many taxonomic groups as possible within a 24hr time period",Data,North America,Government,North America,2011,2011,<10 km,"Marine, terrestrial, freshwater, estuarine","Plants, fungus, mollusk, birds, fish, mammals, insects",No,NA,NA,All,Photo,All,None,11,1,11,2011,Anyone interested,No,NA,NA,Yes,links & photos online,electronic,0,Unknown,NA,http://www.iNaturalist.org/projects/bioblitz-at-don-edwards-san-francisco-bay-nwr,iNaturalist,2012-05-23
Bioblitz of Shelby Forest,1) catalog as many as possible of the species that occur here; 2) highlight the amazing diversity and richness of organisms that occur here; 3) highlight the need for scientific research and monitoring of the organisms in this unique and beautiful hardwood forest in SW Tennessee,Data,North America,NGO,North America,2011,Ongoing,<100 km,Terrestrial,"Birds, reptiles, mammals, insects, arachnids",No,NA,NA,All,Photo,All,None,Unknown,Unknown,1,2011,Anyone interested,No,NA,NA,No,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/bioblitz-of-shelby-forest-tn,iNaturalist,2012-05-02
BioBlitz! Oklahoma,"Bioblitz is a fun and exciting event to educate people about the natural diversity ""in their back yard"" BioBlitz offers a hands-on scientific experience and a chance to learn more about the diversity of life where people live",Both,North America,Academic,North America,2001,Ongoing,<1000 km,"Terrestrial, freshwater",Everything,No,NA,NA,Some,"Experts present, photos, speciments",Some,All,Unknown,Unknown,333,2011,Anyone interested,Yes,in-person,in-person,Yes,in-person,in-person,0,Unknown,NA,http://www.biosurvey.ou.edu/bioblitz/BioBlitz.html,Project Noah,2012-05-18
BioBlitz: National Geographic,"Project founders organized BioBlitz as a way for communities to learn about the biological diversity of local parks and to better understand how to protect them BioBlitz events give adults, kids, and teens the opportunity to join biologists in the field, participate in boNA fide research expeditions, and learn from the experts about biodiversity—both around the planet and in our own backyards",Both,North America,NGO,North America,2007,Ongoing,<10000 km,"Terrestrial, marine, freshwater",Everything,No,NA,NA,All,"Specimen collection, expert present",Some,All,Unknown,Unknown,5000,2011,Anyone interested,Yes,expert  present,in-person,Yes,expert  present,in-person,9,Unknown,NA,http://www.nationalgeographic.com/explorers/projects/bioblitz/,,2012-03-05
Biodiversity of the Cache River Watershed,To document and focus attention on the biodiversity of the Cache River Watershed ,Data,North America,NGO,North America,2011,Ongoing,<100 km,"terrestrial, freshwater","Birds, reptiles, mammals, molluscs, fish, insects, arachnids, crustaceans, plants, fungus",No,NA,NA,All,Photo,All,None,9,2,8,2012,Anyone interested,No,NA,NA,No,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/biodiversity-of-the-cache-river-watershed,iNaturalist,2012-05-02
Bird Atlas 2007-11: Mapping Britain and Ireland's Birds,To map the distribution and relative abundance of all the birds of Britain and Ireland in winter and the breeding season,Data,Europe,NGO,Europe,2007,2011,<10000 km,"Terrestrial, marine, freshwater, estuarine",Birds,No,NA,NA,None,NA,Some,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Unknown,Unknown,Unknown,Yes,online photos/facts/id videos,electronic,4,Unknown,NA,http://www.bto.org/volunteer-surveys/birdatlas,Scistarter,2012-03-05
Bird Ringing at the British Trust for Ornithology,"To generate information on the survival, productivity and movements of birds, helping us to understand why populations are changing",Data,Europe,NGO,Europe,1936,Ongoing,<10000 km,"Terrestrial, marine, freshwater, estuarine",Birds,No,NA,NA,Some,banding,Some,Some,Unknown,Unknown,2700,2011,"Anyone interested, who attends the training",Yes,"in-person, and online",combo,Yes,online photos/facts/id videos,electronic,21,Unknown,NA,http://www.bto.org/volunteer-surveys/ringing/ringing-scheme,Scistarter,2012-03-05
Birds in Forested Landscapes,"Answer questions about other species of forest-dwelling birds and the influences that habitat changes may have on their populations BFL focuses on gaps in scientific knowledge regarding the specific habitat requirements of high-priority forest birds How much habitat do different forest-dwelling bird species require for successful breeding? How are habitat requirements affected by land uses in the surrounding landscape, such as human development, forestry, and agriculture? How do the habitat requirements of a species vary across its range? ",Data,North America,Academic,North America,1997,Ongoing,Unknown,Terrestrial,Birds,No,NA,NA,None,NA,Some,All,Unknown,Unknown,70,2003,Anyone interested,Yes,online and suggested resources,electronic,Yes,online and suggested resources,electronic,2,Unknown,NA,http://www.birds.cornell.edu/bfl/,Scistarter,2012-02-14
Birds of Theodore Roosevelt Island Washington DC EOL Collection,Unknown,Data,North America,NGO,North America,2012,Ongoing,<10 km,"Terrestrial, freshwater",Birds,No,NA,NA,All,Photo,All,None,2,1,2,2012,Anyone interested,No,NA,NA,No,NA,NA,0,Unknown,NA,http://www.iNaturalist.org/projects/birds-of-theodore-roosevelt-island-washington-dc-eol-collection,iNaturalist,2012-05-02
BirdTrack,"Tracks migration movements and distributions of birds throughout Britain and Ireland to support species conservation at local, regional, national and international scales",Data,Europe,NGO,Europe,2005,Ongoing,<1000 km,Terrestrial,Birds,No,migration (arrivals and departures) timings,NA,None,NA,Some,Some,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online,electronic,Yes,online,electronic,0,Unknown,NA,http://www.bto.org/volunteer-surveys/birdtrack,Scistarter,2012-04-20
Black Hills Bee Project,"Through survey, inventory, documentation, vouchering, and publication, the Black Hills Bee Project will develop basic biological knowledge on the occurrence, distribution, habitats, host plants, geospatial data, and other ecological attributes of the NAtive polliNAtors This knowledge will be used for database development, for inquiries and detailed research on the existence and extinction of species, and for land use effects and climate-related changes to NAtive polliNAtor populations and relationships",Data,North America,Academic,North America,Unknown,Unknown,Unknown,Terrestrial,Bees,No,NA,NA,All,"Specimen, Photo",None,None,Unknown,Unknown,Unknown,Unknown,Anyone interested,Yes,online only,electronic,No,NA,NA,0,Unknown,NA,"http://www.sdstate.edu/ps/Severin-McDaniel/DakotaBio/native-bees-black-hills/index.cfm, http://www.sdstate.edu/ps/Severin-McDaniel/DakotaBio/native-bees-black-hills/information-for-project-volunteers.cfm",Scistarter,2012-02-17
