Organisms	Record_Count	%of296,871
Morone Saxatilis	216	0.073
Sander Vitreus	208	0.070
Centrocercus Urophasianus	203	0.068
Aedes Aegypti	202	0.068
Plutella Xylostella	201	0.068
Sparus Aurata	201	0.068
Teleostei	201	0.068
Hemiptera	200	0.067
Harmonia Axyridis	192	0.065
Crassostrea Gigas	190	0.064
Ephemeroptera	189	0.064
Hypophthalmichthys Molitrix	189	0.064
Panthera Onca	189	0.064
Panthera Tigris	189	0.064
Panthera Pardus	187	0.063
Anatidae	186	0.063
Macrobrachium Rosenbergii	185	0.062
Agrilus Planipennis	183	0.062
Penaeus Monodon	183	0.062
Oreochromis Mossambicus	182	0.061
Lutra Lutra	181	0.061
Colinus Virginianus	177	0.060
Micropterus Dolomieu	175	0.059
Aedes Albopictus	174	0.059
Procyon Lotor	172	0.058
Bombus	171	0.058
Gambusia Affinis	171	0.058
Ailuropoda Melanoleuca	168	0.057
Aphis Gossypii	164	0.055
Ostrinia Nubilalis	164	0.055
Phytoseiidae	164	0.055
Aquila Chrysaetos	163	0.055
Gadus Morhua	163	0.055
Rangifer Tarandus	163	0.055
Labeo Rohita	162	0.055
Staphylinidae	160	0.054
Unionidae	158	0.053
Dendroctonus Ponderosae	156	0.053
Salmo Gairdneri	155	0.052
Frankliniella Occidentalis	154	0.052
Rhopalosiphum Padi	154	0.052
Stizostedion Vitreum	154	0.052
Helicoverpa Armigera	152	0.051
Cyprinidae	151	0.051
Trichosurus Vulpecula	151	0.051
Elephas Maximus	150	0.051
Corbicula Fluminea	149	0.050
Scophthalmus Maximus	149	0.050
Oscines	148	0.050
Paralichthys Olivaceus	148	0.050
Sitobion Avenae	148	0.050
Oligochaeta	147	0.050
Lepus Europaeus	146	0.049
Oncorhynchus	146	0.049
Bos Taurus	145	0.049
Mus Musculus	145	0.049
Sauria	145	0.049
Plecoptera	144	0.049
Ceratitis Capitata	143	0.048
Ctenopharyngodon Idella	143	0.048
Lynx Lynx	142	0.048
Meles Meles	141	0.047
Arachnida	140	0.047
Coregonus Clupeaformis	139	0.047
Poecilia Reticulata	138	0.046
Serpentes	138	0.046
Molothrus Ater	137	0.046
Orthoptera	137	0.046
Cerambycidae	136	0.046
Acanthocephala	134	0.045
Braconidae	134	0.045
Cervidae	132	0.044
Halyomorpha Halys	132	0.044
Spodoptera Frugiperda	131	0.044
Isoptera	129	0.043
Drosophila Suzukii	128	0.043
Oryzias Latipes	128	0.043
Coccinella Septempunctata	126	0.042
Picoides Borealis	126	0.042
Pacifastacus Leniusculus	125	0.042
Phalacrocorax Auritus	125	0.042
Heterocera	123	0.041
Rangifer Tarandus Caribou	123	0.041
Danio Rerio	122	0.041
Heterorhabditis Bacteriophora	121	0.041
Parus Major	120	0.040
Peromyscus Maniculatus	119	0.040
Tachinidae	119	0.040
Acipenser Transmontanus	118	0.040
Mustela Erminea	118	0.040
Tetrao Urogallus	118	0.040
Carassius Auratus	117	0.039
Alosa Pseudoharengus	116	0.039
Chironomus Riparius	116	0.039
Chrysoperla Carnea	115	0.039
Scarabaeidae	115	0.039
Lepus Americanus	114	0.038
Lycaon Pictus	114	0.038
Haliaeetus Leucocephalus	113	0.038
Larus Argentatus	113	0.038
Aphis Glycines	112	0.038
Gasterosteus Aculeatus	112	0.038
Oribatida	112	0.038
Coregonus Lavaretus	111	0.037
Diabrotica Virgifera Virgifera	111	0.037
Sturnus Vulgaris	111	0.037
Castor Canadensis	110	0.037
Rattus Norvegicus	110	0.037
Acipenser Fulvescens	109	0.037
Ovis Aries	109	0.037
Aphididae	108	0.036
Musca Domestica	108	0.036
Acinonyx Jubatus	107	0.036
Culex Quinquefasciatus	106	0.036
Hyalella Azteca	106	0.036
Abramis Brama	105	0.035
Ips Typographus	105	0.035
Margaritifera Margaritifera	105	0.035
Plasmodium	105	0.035
Cervus Nippon	104	0.035
Morone Chrysops	104	0.035
Falco Peregrinus	103	0.035
Heliothis Virescens	103	0.035
Lynx Rufus	103	0.035
Passer Domesticus	103	0.035
Anopheles	102	0.034
Apodemus Sylvaticus	102	0.034
Canis Familiaris	102	0.034
Mustela Vison	102	0.034
Acyrthosiphon Pisum	101	0.034
Adelges Tsugae	101	0.034
Charadrii	101	0.034
Catostomus Commersoni	100	0.034
Steinernema Carpocapsae	100	0.034
Strigiformes	100	0.034
Thysanoptera	100	0.034
Ciliophora	99	0.033
Eisenia Fetida	99	0.033
Steinernema Feltiae	99	0.033
Catla Catla	98	0.033
Tuta Absoluta	98	0.033
Bivalvia	97	0.033
Lumbricus Terrestris	97	0.033
Petromyzon Marinus	97	0.033
Salvelinus Confluentus	97	0.033
Crassostrea Virginica	96	0.032
Dama Dama	96	0.032
Diceros Bicornis	96	0.032
Phascolarctos Cinereus	96	0.032
Choristoneura Fumiferana	95	0.032
Gulo Gulo	95	0.032
Linepithema Humile	95	0.032
Lota Lota	95	0.032
Anas Acuta	94	0.032
Neogobius Melanostomus	94	0.032
Tribolium Castaneum	94	0.032
Esox Masquinongy	93	0.031
Leptinotarsa Decemlineata	93	0.031
Brevicoryne Brassicae	92	0.031
Martes Americana	92	0.031
Leuciscus Cephalus	91	0.031
Phasianus Colchicus	91	0.031
Tinca Tinca	91	0.031
Cirrhinus Mrigala	90	0.030
Aepyceros Melampus	89	0.030
Trematoda	89	0.030
Astacura	88	0.030
Branta Canadensis	88	0.030
Charadrius Melodus	88	0.030
Cynomys Ludovicianus	88	0.030
Gambusia Holbrooki	88	0.030
Gammarus Pulex	88	0.030
Pan Troglodytes	88	0.030
Trialeurodes Vaporariorum	88	0.030
Cherax Quadricarinatus	87	0.029
Heteroptera	87	0.029
Tephritidae	87	0.029
Drosophila Melanogaster	86	0.029
Scaphirhynchus Albus	86	0.029
Scarabaeoidea	86	0.029
Apidae	85	0.029
Daphnia	85	0.029
Equus Caballus	85	0.029
Orius Insidiosus	85	0.029
Osmerus Mordax	85	0.029
Strix Occidentalis Caurina	85	0.029
Capra Hircus	84	0.028
Ichneumonidae	84	0.028
Simuliidae	84	0.028
Heteropneustes Fossilis	83	0.028
Ictalurus Furcatus	83	0.028
Lumbricidae	83	0.028
Marsupialia	83	0.028
Neovison Vison	83	0.028
Rhamdia Quelen	83	0.028
Sciurus Carolinensis	83	0.028
Vermes	82	0.028
Bison Bison	81	0.027
Daphnia Pulex	81	0.027
Gopherus Agassizii	81	0.027
Lepomis Gibbosus	81	0.027
Peromyscus Leucopus	81	0.027
Tyto Alba	81	0.027
Accipiter Gentilis	80	0.027
Artemia	80	0.027
Bombus Terrestris	80	0.027
Crocuta Crocuta	80	0.027
Mytilus Edulis	80	0.027
Noctuidae	80	0.027
Scarabaeinae	80	0.027
Bactrocera Dorsalis	79	0.027
Hypophthalmichthys Nobilis	79	0.027
Lumbricus Rubellus	79	0.027
Oreochromis Aureus	79	0.027
Platyhelminthes	79	0.027
Siphonaptera	79	0.027
Tetrao Tetrix	79	0.027
Antilocapra Americana	78	0.026
Helicoverpa Zea	78	0.026
Hippoglossus Hippoglossus	78	0.026
Lates Calcarifer	78	0.026
Oncorhynchus Gorbuscha	78	0.026
Sander Lucioperca	78	0.026
Ambystoma Maculatum	77	0.026
Galleria Mellonella	76	0.026
Microtus Agrestis	76	0.026
Oncorhynchus Keta	76	0.026
Pieris Rapae	76	0.026
Sciurus Vulgaris	76	0.026
Culex Pipiens	75	0.025
Curculionidae	75	0.025
Phlebotominae	75	0.025
Corvus Corax	74	0.025
Dorosoma Cepedianum	74	0.025
Macropus Giganteus	74	0.025
Rana Temporaria	74	0.025
Ceriodaphnia Dubia	73	0.025
Clarias Batrachus	73	0.025
Lynx Canadensis	73	0.025
Neophron Percnopterus	73	0.025
Nezara Viridula	73	0.025
Rhinella Marina	73	0.025
Scolytidae	73	0.025
Steinernema	73	0.025
Acrididae	72	0.024
Anopheles Gambiae	72	0.024
Eriocheir Sinensis	72	0.024
Martes Martes	72	0.024
Solea Senegalensis	72	0.024
Vanellus Vanellus	72	0.024
Alauda Arvensis	71	0.024
Colossoma Macropomum	71	0.024
Dendroctonus Frontalis	71	0.024
Lumbriculus Variegatus	71	0.024
Meloidogyne Incognita	71	0.024
Neoseiulus Californicus	71	0.024
Ostracoda	71	0.024
Rana Catesbeiana	71	0.024
Testudines	71	0.024
Xyrauchen Texanus	71	0.024
Alectoris Rufa	70	0.024
Austropotamobius Pallipes	70	0.024
Bufo Bufo	70	0.024
Chalcidoidea	70	0.024
Connochaetes Taurinus	70	0.024
Cichlidae	69	0.023
Eulophidae	69	0.023
Huso Huso	69	0.023
Hylocichla Mustelina	69	0.023
Pteromalidae	69	0.023
Scolytinae	69	0.023
Thymallus Thymallus	69	0.023
Aculeata	68	0.023
Alligator Mississippiensis	68	0.023
Aporrectodea Caliginosa	68	0.023
Clethrionomys Glareolus	68	0.023
Gopherus Polyphemus	68	0.023
Monogenea	68	0.023
Nycticorax Nycticorax	68	0.023
Cydia Pomonella	67	0.023
Nilaparvata Lugens	67	0.023
Perdix Perdix	67	0.023
Anoplophora Glabripennis	66	0.022
Aristichthys Nobilis	66	0.022
Buteo Buteo	66	0.022
Coleomegilla Maculata	66	0.022
Coptotermes Formosanus	66	0.022
Felidae	66	0.022
Lithobates Catesbeianus	66	0.022
Ovis Canadensis	66	0.022
Parasitica	66	0.022
Phytoseiulus Persimilis	66	0.022
Polyodon Spathula	66	0.022
Rana Sylvatica	66	0.022
Chilo Partellus	65	0.022
Ephestia Kuehniella	65	0.022
Falco Naumanni	65	0.022
Homarus Americanus	65	0.022
Panthera Uncia	65	0.022
Penaeus Vannamei	65	0.022
Potamopyrgus Antipodarum	65	0.022
Rhyzopertha Dominica	65	0.022
Thaumetopoea Pityocampa	65	0.022
Ammodramus Savannarum	64	0.022
Anas Clypeata	64	0.022
Chrysopidae	64	0.022
Coregonus Albula	64	0.022
Diuraphis Noxia	64	0.022
Soricidae	64	0.022
Tetrax Tetrax	64	0.022
Agelaius Phoeniceus	63	0.021
Anas Strepera	63	0.021
Bursaphelenchus Xylophilus	63	0.021
Chelydra Serpentina	63	0.021
Emys Orbicularis	63	0.021
Falco Tinnunculus	63	0.021
Leopardus Pardalis	63	0.021
Lynx Pardinus	63	0.021
Spodoptera Exigua	63	0.021
Chanos Chanos	62	0.021
Eptesicus Fuscus	62	0.021
Falco Sparverius	62	0.021
Pagrus Major	62	0.021
Tachycineta Bicolor	62	0.021
Grus Americana	61	0.021
Gyps Fulvus	61	0.021
Hippodamia Convergens	61	0.021
Mugil Cephalus	61	0.021
Mustela Nigripes	61	0.021
Aphidius Colemani	60	0.020
Bison Bonasus	60	0.020
Folsomia Candida	60	0.020
Myotis Lucifugus	60	0.020
Myotis Sodalis	60	0.020
Pomoxis Nigromaculatus	60	0.020
Acipenser Brevirostrum	59	0.020
Acipenser Sinensis	59	0.020
Athene Cunicularia	59	0.020
Circus Cyaneus	59	0.020
Danaus Plexippus	59	0.020
Dreissena Bugensis	59	0.020
Fundulus Heteroclitus	59	0.020
Ixodidae	59	0.020
Passerculus Sandwichensis	59	0.020
Plethodon Cinereus	59	0.020
Tetranychidae	59	0.020
Anas Crecca	58	0.020
Barbus Barbus	58	0.020
Bemisia Argentifolii	58	0.020
Buprestidae	58	0.020
Emydoidea Blandingii	58	0.020
Piaractus Mesopotamicus	58	0.020
Sirex Noctilio	58	0.020
Typhlodromus Pyri	58	0.020
Astacus Astacus	57	0.019
Isopoda	57	0.019
Oncorhynchus Masou	57	0.019
Otis Tarda	57	0.019
Silurus Glanis	57	0.019
Spodoptera Litura	57	0.019
Trichogramma	57	0.019
Amblyseius Swirskii	56	0.019
Apostichopus Japonicus	56	0.019
Castor Fiber	56	0.019
Diaeretiella Rapae	56	0.019
Diplopoda	56	0.019
Heterorhabditis	56	0.019
Lates Niloticus	56	0.019
Accipiter Nisus	55	0.019
Acipenser Ruthenus	55	0.019
Egretta Garzetta	55	0.019
Gypaetus Barbatus	55	0.019
Lama Guanicoe	55	0.019
Lepeophtheirus Salmonis	55	0.019
Meloidogyne	55	0.019
Misgurnus Anguillicaudatus	55	0.019
Pentatomidae	55	0.019
Plecoglossus Altivelis	55	0.019
Rattus	55	0.019
Schizaphis Graminum	55	0.019
Sterna Hirundo	55	0.019
Tringa Totanus	55	0.019
Bactrocera Oleae	54	0.018
Channa Punctatus	54	0.018
Ichthyophthirius Multifiliis	54	0.018
Martes Pennanti	54	0.018
Muscardinus Avellanarius	54	0.018
Popillia Japonica	54	0.018
Strix Varia	54	0.018
Anguilla Rostrata	53	0.018
Aythya Affinis	53	0.018
Bufo Marinus	53	0.018
Chrysemys Picta	53	0.018
Coccoidea	53	0.018
Gila Cypha	53	0.018
Leishmania	53	0.018
Myodes Glareolus	53	0.018
Orconectes Virilis	53	0.018
Pandion Haliaetus	53	0.018
Panonychus Ulmi	53	0.018
Phalacrocorax Carbo	53	0.018
Scaphirhynchus Platorynchus	53	0.018
Seiurus Aurocapilla	53	0.018
Tomicus Piniperda	53	0.018
Ursus Thibetanus	53	0.018
Acipenser Baerii	52	0.018
Anas Discors	52	0.018
Anas Rubripes	52	0.018
Artemia Franciscana	52	0.018
Bovidae	52	0.018
Busseola Fusca	52	0.018
Chlamydomonas Reinhardtii	52	0.018
Felis Silvestris	52	0.018
Glaucomys Sabrinus	52	0.018
Ixodes Ricinus	52	0.018
Lepus Timidus	52	0.018
Liriomyza Trifolii	52	0.018
Martes Foina	52	0.018
Mytilus Galloprovincialis	52	0.018
Prochilodus Lineatus	52	0.018
Pylodictis Olivaris	52	0.018
Thrips Tabaci	52	0.018
Triturus Cristatus	52	0.018
Erinaceus Europaeus	51	0.017
Gorilla Gorilla Gorilla	51	0.017
Haemoproteus	51	0.017
Ixodida	51	0.017
Micropterus Dolomieui	51	0.017
Myotis Septentrionalis	51	0.017
Orconectes Rusticus	51	0.017
Oreochromis	51	0.017
Pomacea Canaliculata	51	0.017
Porcellio Scaber	51	0.017
Rana Clamitans	51	0.017
Rhopalocera	51	0.017
Sarcophilus Harrisii	51	0.017
Turdus Migratorius	51	0.017
Tympanuchus Pallidicinctus	51	0.017
Aix Sponsa	50	0.017
Alburnus Alburnus	50	0.017
Aphis Craccivora	50	0.017
Astacus Leptodactylus	50	0.017
Cervus Canadensis	50	0.017
Cicadellidae	50	0.017
Dolichonyx Oryzivorus	50	0.017
Enchytraeidae	50	0.017
Giraffa Camelopardalis	50	0.017
Gymnogyps Californianus	50	0.017
Metopolophium Dirhodum	50	0.017
Microtus Pennsylvanicus	50	0.017
Ondatra Zibethicus	50	0.017
Picidae	50	0.017
Pterostichus Melanarius	50	0.017
Syncerus Caffer	50	0.017
Adalia Bipunctata	49	0.017
Alosa Sapidissima	49	0.017
Anatinae	49	0.017
Ardeidae	49	0.017
Canis Aureus	49	0.017
Coregonus	49	0.017
Diaphorina Citri	49	0.017
Haliotis Discus Hannai	49	0.017
Lithobates Sylvaticus	49	0.017
Pipistrellus Pipistrellus	49	0.017
Pseudorasbora Parva	49	0.017
Tamiasciurus Hudsonicus	49	0.017
Ardea Herodias	48	0.016
Callosobruchus Maculatus	48	0.016
Canis Rufus	48	0.016
Caudata	48	0.016
Culicoides	48	0.016
Lasiurus Cinereus	48	0.016
Lymnaea Stagnalis	48	0.016
Myocastor Coypus	48	0.016
Ostrea Edulis	48	0.016
Planococcus Citri	48	0.016
Plodia Interpunctella	48	0.016
Rattus Exulans	48	0.016
Acridoidea	47	0.016
Anas	47	0.016
Boiga Irregularis	47	0.016
Brachyramphus Marmoratus	47	0.016
Buteo Jamaicensis	47	0.016
Cyanistes Caeruleus	47	0.016
Meleagris Gallopavo	47	0.016
Microarthropoda	47	0.016
Opiliones	47	0.016
Schistosoma Mansoni	47	0.016
Tayassu Pecari	47	0.016
Ursus Maritimus	47	0.016
Anastrepha	46	0.015
Canis Lupus Dingo	46	0.015
Chrysomelidae	46	0.015
Columba Livia	46	0.015
Cottus Cognatus	46	0.015
Dreissena Rostriformis Bugensis	46	0.015
Encarsia Formosa	46	0.015
Hypothenemus Hampei	46	0.015
Lontra Canadensis	46	0.015
Macrobrachium Nipponense	46	0.015
Panthera Tigris Altaica	46	0.015
Pongo Pygmaeus	46	0.015
Stomoxys Calcitrans	46	0.015
Trachemys Scripta Elegans	46	0.015
Trichoplusia Ni	46	0.015
Anser Brachyrhynchus	45	0.015
Artiodactyla	45	0.015
Calidris Alpina	45	0.015
Carassius Carassius	45	0.015
Cottus Gobio	45	0.015
Eimeria	45	0.015
Fulica Atra	45	0.015
Lepomis Cyanellus	45	0.015
Macquaria Ambigua	45	0.015
Macropus Rufus	45	0.015
Macrosiphum Euphorbiae	45	0.015
Megalobrama Amblycephala	45	0.015
Mephitis Mephitis	45	0.015
Mesostigmata	45	0.015
Microtus Arvalis	45	0.015
Pomoxis Annularis	45	0.015
Ptychocheilus Lucius	45	0.015
Semotilus Atromaculatus	45	0.015
Strix Aluco	45	0.015
Tenebrionidae	45	0.015
Turdus Merula	45	0.015
Vespertilionidae	45	0.015
Ameiurus Nebulosus	44	0.015
Bythotrephes Longimanus	44	0.015
Decapoda	44	0.015
Eisenia Andrei	44	0.015
Elliptio Complanata	44	0.015
Gavia Immer	44	0.015
Hylobius Abietis	44	0.015
Lasiurus Borealis	44	0.015
Macrolophus Pygmaeus	44	0.015
Phenacoccus Solenopsis	44	0.015
Rupicapra Rupicapra	44	0.015
Tubifex Tubifex	44	0.015
Aegypius Monachus	43	0.014
Anastrepha Fraterculus	43	0.014
Ardea Cinerea	43	0.014
Athene Noctua	43	0.014
Bufo Americanus	43	0.014
Canis Lupus Familiaris	43	0.014
Chilopoda	43	0.014
Culex	43	0.014
Epinephelus Coioides	43	0.014
Ficedula Hypoleuca	43	0.014
Mustela Furo	43	0.014
Mustela Lutreola	43	0.014
Neuroptera	43	0.014
Notemigonus Crysoleucas	43	0.014
Ochotona Princeps	43	0.014
Oncorhynchus Clarkii	43	0.014
Psittaciformes	43	0.014
Tortricidae	43	0.014
Unionoidea	43	0.014
Anisoptera	42	0.014
Anseriformes	42	0.014
Brachionus Calyciflorus	42	0.014
Bubulcus Ibis	42	0.014
Channa Argus	42	0.014
Cygnus Olor	42	0.014
Delia Radicum	42	0.014
Didelphis Virginiana	42	0.014
Drosophila	42	0.014
Muridae	42	0.014
Pelteobagrus Fulvidraco	42	0.014
Podisus Maculiventris	42	0.014
Siluriformes	42	0.014
Sitophilus Oryzae	42	0.014
Stizostedion Vitreum Vitreum	42	0.014
Tilapia Zillii	42	0.014
Tragelaphus Strepsiceros	42	0.014
Anguilla Japonica	41	0.014
Anser Albifrons	41	0.014
Aphelinidae	41	0.014
Aphis Fabae	41	0.014
Auchenorrhyncha	41	0.014
Axis Axis	41	0.014
Bonasa Umbellus	41	0.014
Brachionus Plicatilis	41	0.014
Ciconia Ciconia	41	0.014
Clethrionomys Gapperi	41	0.014
Epiphyas Postvittana	41	0.014
Episyrphus Balteatus	41	0.014
Gammarus Fossarum	41	0.014
Haematopus Ostralegus	41	0.014
Haliaeetus Albicilla	41	0.014
Mustela Putorius	41	0.014
Odontesthes Bonariensis	41	0.014
Operophtera Brumata	41	0.014
Seriola Quinqueradiata	41	0.014
Sigmodon Hispidus	41	0.014
Spodoptera Littoralis	41	0.014
Vireo Atricapilla	41	0.014
Anodonta Anatina	40	0.013
Aquila Adalberti	40	0.013
Bombini	40	0.013
Bufo Calamita	40	0.013
Cetacea	40	0.013
Crex Crex	40	0.013
Diatraea Saccharalis	40	0.013
Heliothis Zea	40	0.013
Lanius Collurio	40	0.013
Metazoa	40	0.013
Nymphalidae	40	0.013
Orconectes Limosus	40	0.013
Orius	40	0.013
Phyllostomidae	40	0.013
Rana Pipiens	40	0.013
Rattus Fuscipes	40	0.013
Sciaenops Ocellatus	40	0.013
Squalius Cephalus	40	0.013
Sylvilagus Floridanus	40	0.013
Tabanidae	40	0.013
Testacea	40	0.013
Trypanosoma	40	0.013
Ursus Arctos Horribilis	40	0.013
Acipenser Persicus	39	0.013
Apodemus Flavicollis	39	0.013
Brachydanio Rerio	39	0.013
Callinectes Sapidus	39	0.013
Carassius Gibelio	39	0.013
Cecidomyiidae	39	0.013
Chironomus Tentans	39	0.013
Drosophilidae	39	0.013
Equus Burchelli	39	0.013
Gobio Gobio	39	0.013
Gymnobelideus Leadbeateri	39	0.013
Ips Pini	39	0.013
Lagopus Lagopus	39	0.013
Micropterus Salmoides Floridanus	39	0.013
Miridae	39	0.013
Mustela Nivalis	39	0.013
Pan Paniscus	39	0.013
Petauroides Volans	39	0.013
Salvelinus Malma	39	0.013
Squamata	39	0.013
Tiliqua Adelaidensis	39	0.013
Vermivora Chrysoptera	39	0.013
Vespidae	39	0.013
Brachylagus Idahoensis	38	0.013
Ceratotherium Simum	38	0.013
Crocodylus Niloticus	38	0.013
Diachasmimorpha Longicaudata	38	0.013
Lobesia Botrana	38	0.013
Milvus Milvus	38	0.013
Neochetina Eichhorniae	38	0.013
Neoseiulus Cucumeris	38	0.013
Pleuronectes Platessa	38	0.013
Sitophilus Zeamais	38	0.013
Spiza Americana	38	0.013
Stizostedion Lucioperca	38	0.013
Strigops Habroptilus	38	0.013
Sturnella Magna	38	0.013
Thunnus Orientalis	38	0.013
Tilapia	38	0.013
Tor Putitora	38	0.013
Ammodramus Henslowii	37	0.012
Amphipoda	37	0.012
Anastrepha Obliqua	37	0.012
Asellus Aquaticus	37	0.012
Bucephala Clangula	37	0.012
Dasyurus Maculatus	37	0.012
Deroceras Reticulatum	37	0.012
Hirundo Rustica	37	0.012
Limnoperna Fortunei	37	0.012
Mycteria Americana	37	0.012
Nyctereutes Procyonoides	37	0.012
Oreamnos Americanus	37	0.012
Rhynchophorus Ferrugineus	37	0.012
Salmo Trutta Fario	37	0.012
Scylla Serrata	37	0.012
Setophaga Chrysoparia	37	0.012
Thrips Palmi	37	0.012
Vulpes Velox	37	0.012
Anopheles Arabiensis	36	0.012
Anser Anser	36	0.012
Aonidiella Aurantii	36	0.012
Aphidiidae	36	0.012
Aphidius Ervi	36	0.012
Aythya Ferina	36	0.012
Bubo Bubo	36	0.012
Catostomus Commersonii	36	0.012
Centrarchidae	36	0.012
Cyclopoida	36	0.012
Dendroctonus Valens	36	0.012
Galaxias Maculatus	36	0.012
Glaucomys Volans	36	0.012
Morone Americana	36	0.012
Myrmica	36	0.012
Myxobolus Cerebralis	36	0.012
Nipponia Nippon	36	0.012
Notiomystis Cincta	36	0.012
Oryx Leucoryx	36	0.012
Pan Troglodytes Verus	36	0.012
Pica Pica	36	0.012
Reticulitermes Flavipes	36	0.012
Salmo	36	0.012
Sesamia Calamistis	36	0.012
Somateria Mollissima	36	0.012
Sorex Araneus	36	0.012
Sturnella Neglecta	36	0.012
Tardigrada	36	0.012
Trachemys Scripta	36	0.012
Trichogramma Pretiosum	36	0.012
Acipenser Gueldenstaedtii	35	0.012
Aphidiinae	35	0.012
Ardea Alba	35	0.012
Cameraria Ohridella	35	0.012
Canis Dingo	35	0.012
Cardinalis Cardinalis	35	0.012
Charadriiformes	35	0.012
Circus Pygargus	35	0.012
Diaprepes Abbreviatus	35	0.012
Emberiza Citrinella	35	0.012
Heterorhabditis Indica	35	0.012
Lagomorpha	35	0.012
Microchiroptera	35	0.012
Pan Troglodytes Schweinfurthii	35	0.012
Pangasianodon Hypophthalmus	35	0.012
Pecari Tajacu	35	0.012
Phyllocnistis Citrella	35	0.012
Tapirus Terrestris	35	0.012
Uria Aalge	35	0.012
Vulpes Lagopus	35	0.012
Vultur Gryphus	35	0.012
Biomphalaria Glabrata	34	0.011
Bubo Virginianus	34	0.011
Calliphoridae	34	0.011
Chelonia Mydas	34	0.011
Ciconiiformes	34	0.011
Cricetus Cricetus	34	0.011
Hieraaetus Fasciatus	34	0.011
Hyla Versicolor	34	0.011
Lanius Ludovicianus	34	0.011
Limosa Limosa	34	0.011
Lysiphlebus Testaceipes	34	0.011
Panonychus Citri	34	0.011
Panthera Tigris Tigris	34	0.011
Pieris Brassicae	34	0.011
Rhagoletis Pomonella	34	0.011
Solea Solea	34	0.011
Sylvia Atricapilla	34	0.011
Urocyon Cinereoargenteus	34	0.011
Vespula Germanica	34	0.011
Vespula Vulgaris	34	0.011
Vulpes Macrotis Mutica	34	0.011
Anastrepha Ludens	33	0.011
Bactrocera Cucurbitae	33	0.011
Capra Pyrenaica	33	0.011
Contracaecum	33	0.011
Cryptolestes Ferrugineus	33	0.011
Dasypus Novemcinctus	33	0.011
Dendroctonus Rufipennis	33	0.011
Dryocopus Pileatus	33	0.011
Elephantidae	33	0.011
Geometridae	33	0.011
Lasionycteris Noctivagans	33	0.011
Leucocytozoon	33	0.011
Liriomyza Sativae	33	0.011
Macaca Mulatta	33	0.011
Maculinea Teleius	33	0.011
Melanogrammus Aeglefinus	33	0.011
Myotis	33	0.011
Nesidiocoris Tenuis	33	0.011
